Sound,Image
a_1.mp3,v1.png
aa_2.mp3,v2.png
i_3.mp3,v3.png
ii_4.mp3,v4.png
u_5.mp3,v5.png
uu_6.mp3,v6.png
ru_7.mp3,v7.png
e_8.mp3,v9.png
ee_9.mp3,v10.png
ai_10.mp3,v11.png
o_11.mp3,v12.png
oo_12.mp3,v13.png
au_13.mp3,v14.png
am_14.mp3,v15.png
ah_15.mp3,v16.png
ka_1_1.mp3,ka_1_1.png
kha_2_1.mp3,kha_2_1.png
ga_3_1.mp3,ga_3_1.png
gha_4_1.mp3,gha_4_1.png
nga_5_1.mp3,nga_5_1.png
cha_6_1.mp3,cha_6_1.png
chha_7_1.mp3,chha_7_1.png
ja_8_1.mp3,ja_8_1.png
jha_9_1.mp3,jha_9_1.png
nya_10_1.mp3,nya_10_1.png
tta_11_1.mp3,tta_11_1.png
ttha_12_1.mp3,ttha_12_1.png
dda_13_1.mp3,dda_13_1.png
 ddha_14_1.mp3,ddha_14_1.png
nna_15_1.mp3,nna_15_1.png
tha_16_1.mp3,tha_16_1.png
thha_17_1.mp3,thha_17_1.png
da_18_1.mp3,da_18_1.png
dha_19_1.mp3,dha_19_1.png
na_20_1.mp3,na_20_1.png
pa_21_1.mp3,pa_21_1.png
pha_22_1.mp3,pha_22_1.png
ba_23_1.mp3,ba_23_1.png
bha_24_1.mp3,bha_24_1.png
ma_25_1.mp3,ma_25_1.png
ya_26_1.mp3,ya_26_1.png
ra_27_1.mp3,ra_27_1.png
la_28_1.mp3,la_28_1.png
va_29_1.mp3,va_29_1.png
sha_30_1.mp3,sha_30_1.png
ssa_31_1.mp3,ssa_31_1.png
sa_32_1.mp3,sa_32_1.png
ha_33_1.mp3,ha_33_1.png
lla_34_1.mp3,lla_34_1.png
